year,round,race,hard,medium,soft,source
2023,1,Bahrain,C1,C2,C3,https://www.formula1.com/en/latest/article.pirelli-confirm-tyre-choices-for-first-three-f1-races-of-2023-as-new.1xlpcTVaLqw0NeM3aYoyCt.html
2023,2,Saudi Arabia,C2,C3,C4,https://www.formula1.com/en/latest/article.pirelli-confirm-tyre-choices-for-first-three-f1-races-of-2023-as-new.1xlpcTVaLqw0NeM3aYoyCt.html
2023,3,Australia,C2,C3,C4,https://www.formula1.com/en/latest/article.pirelli-confirm-tyre-choices-for-first-three-f1-races-of-2023-as-new.1xlpcTVaLqw0NeM3aYoyCt.html
2023,4,Azerbaijan,C3,C4,C5,https://press.pirelli.com/2023-tyre-compound-choices--azerbaijan-usa-and-italy/
2023,5,Miami,C2,C3,C4,https://press.pirelli.com/2023-tyre-compound-choices--azerbaijan-usa-and-italy/
2023,6,Monaco,C3,C4,C5,https://press.pirelli.com/2023-tyre-compound-choices--monaco-and-spain/
2023,7,Spain,C1,C2,C3,https://press.pirelli.com/2023-tyre-compound-choices--monaco-and-spain/
2023,8,Canada,C3,C4,C5,https://press.pirelli.com/2023-tyre-compound-choices--canada-austria-and-great-britain/
2023,9,Austria,C3,C4,C5,https://press.pirelli.com/2023-tyre-compound-choices--canada-austria-and-great-britain/
2023,10,Great Britain,C1,C2,C3,https://press.pirelli.com/2023-tyre-compound-choices--canada-austria-and-great-britain/
2023,11,Hungary,C3,C4,C5,https://press.pirelli.com/tyre-news-and-nominations-for-hungary-and-belgium/
2023,12,Belgium,C2,C3,C4,https://press.pirelli.com/tyre-news-and-nominations-for-hungary-and-belgium/
2023,13,Netherlands,C1,C2,C3,https://press.pirelli.com/news-and-tyre-choices-for-zandvoort-and-monza/
2023,14,Italy,C3,C4,C5,https://press.pirelli.com/news-and-tyre-choices-for-zandvoort-and-monza/
2023,15,Singapore,C3,C4,C5,https://press.pirelli.com/unchanged-nominations-for-singapore-japan-and-qatar--in-name-at-least/
2023,16,Japan,C1,C2,C3,https://press.pirelli.com/unchanged-nominations-for-singapore-japan-and-qatar--in-name-at-least/
2023,17,Qatar,C1,C2,C3,https://press.pirelli.com/unchanged-nominations-for-singapore-japan-and-qatar--in-name-at-least/
